Column1,ID,CID,QID,RID,EID,AID,Country,Question Text,Question Text (Short),Response,Education,Age,Weighted Mean,Cat ID,Category,Question Context
3756,3756,13,14,1,3,1,Canada,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,Under 12,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
3757,3757,13,14,2,3,1,Canada,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,Under 12,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
3758,3758,13,14,3,3,1,Canada,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,Under 12,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
3759,3759,13,14,1000,3,1,Canada,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,Under 12,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22059,22059,14,13,1,1,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,All Ages,85,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22060,22060,14,13,2,1,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,All Ages,4,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22061,22061,14,13,3,1,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,All Ages,10,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22062,22062,14,13,1000,1,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,All Ages,1,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22272,22272,14,13,1,1,2,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22273,22273,14,13,2,1,2,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22274,22274,14,13,3,1,2,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22275,22275,14,13,1000,1,2,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22343,22343,14,13,1,1,3,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,18 to 35,82,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22344,22344,14,13,2,1,3,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,18 to 35,5,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22345,22345,14,13,3,1,3,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,18 to 35,13,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22346,22346,14,13,1000,1,3,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,18 to 35,0,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22414,22414,14,13,1,1,4,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,36 to 59,87,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22415,22415,14,13,2,1,4,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,36 to 59,4,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22416,22416,14,13,3,1,4,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,36 to 59,9,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22417,22417,14,13,1000,1,4,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,36 to 59,0,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22485,22485,14,13,1,1,5,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,60 plus,84,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22486,22486,14,13,2,1,5,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,60 plus,6,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22487,22487,14,13,3,1,5,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,60 plus,8,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22488,22488,14,13,1000,1,5,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,60 plus,1,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22556,22556,14,13,1,4,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,12 to 19,All Ages,83,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22557,22557,14,13,2,4,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,12 to 19,All Ages,4,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22558,22558,14,13,3,4,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,12 to 19,All Ages,12,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22559,22559,14,13,1000,4,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,12 to 19,All Ages,1,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22627,22627,14,13,1,5,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,20 or over,All Ages,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22628,22628,14,13,2,5,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,20 or over,All Ages,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22629,22629,14,13,3,5,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,20 or over,All Ages,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22630,22630,14,13,1000,5,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,20 or over,All Ages,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22698,22698,14,13,1,2,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,Never Attended,All Ages,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22699,22699,14,13,2,2,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,Never Attended,All Ages,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22700,22700,14,13,3,2,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,Never Attended,All Ages,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22701,22701,14,13,1000,2,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,Never Attended,All Ages,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22769,22769,14,13,1,3,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,Under 12,All Ages,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22770,22770,14,13,2,3,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,Under 12,All Ages,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22771,22771,14,13,3,3,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,Under 12,All Ages,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22772,22772,14,13,1000,3,1,China,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,Under 12,All Ages,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
22063,22063,14,14,1,1,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,All Education,All Ages,71,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22064,22064,14,14,2,1,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,All Education,All Ages,26,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22065,22065,14,14,3,1,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,All Education,All Ages,2,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22066,22066,14,14,1000,1,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,All Education,All Ages,0,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22276,22276,14,14,1,1,2,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,All Education,Under 18,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22277,22277,14,14,2,1,2,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,All Education,Under 18,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22278,22278,14,14,3,1,2,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,All Education,Under 18,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22279,22279,14,14,1000,1,2,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,All Education,Under 18,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22347,22347,14,14,1,1,3,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,All Education,18 to 35,63,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22348,22348,14,14,2,1,3,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,All Education,18 to 35,35,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22349,22349,14,14,3,1,3,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,All Education,18 to 35,1,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22350,22350,14,14,1000,1,3,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,All Education,18 to 35,0,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22418,22418,14,14,1,1,4,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,All Education,36 to 59,74,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22419,22419,14,14,2,1,4,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,All Education,36 to 59,25,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22420,22420,14,14,3,1,4,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,All Education,36 to 59,2,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22421,22421,14,14,1000,1,4,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,All Education,36 to 59,0,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22489,22489,14,14,1,1,5,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,All Education,60 plus,76,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22490,22490,14,14,2,1,5,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,All Education,60 plus,20,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22491,22491,14,14,3,1,5,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,All Education,60 plus,3,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22492,22492,14,14,1000,1,5,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,All Education,60 plus,1,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22560,22560,14,14,1,4,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,12 to 19,All Ages,71,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22561,22561,14,14,2,4,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,12 to 19,All Ages,27,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22562,22562,14,14,3,4,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,12 to 19,All Ages,2,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22563,22563,14,14,1000,4,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,12 to 19,All Ages,0,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22631,22631,14,14,1,5,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,20 or over,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22632,22632,14,14,2,5,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,20 or over,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22633,22633,14,14,3,5,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,20 or over,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22634,22634,14,14,1000,5,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,20 or over,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22702,22702,14,14,1,2,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,Never Attended,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22703,22703,14,14,2,2,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,Never Attended,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22704,22704,14,14,3,2,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,Never Attended,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22705,22705,14,14,1000,2,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,Never Attended,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22773,22773,14,14,1,3,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,Under 12,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22774,22774,14,14,2,3,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,Under 12,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22775,22775,14,14,3,3,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,Under 12,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
22776,22776,14,14,1000,3,1,China,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,Under 12,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
6727,6727,34,13,1,1,1,Indonesia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,All Ages,77,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
6728,6728,34,13,2,1,1,Indonesia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,All Ages,5,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
6729,6729,34,13,3,1,1,Indonesia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,All Ages,13,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
6730,6730,34,13,1000,1,1,Indonesia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,All Ages,5,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
6940,6940,34,13,1,1,2,Indonesia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
6941,6941,34,13,2,1,2,Indonesia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
6942,6942,34,13,3,1,2,Indonesia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
6943,6943,34,13,1000,1,2,Indonesia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
7011,7011,34,13,1,1,3,Indonesia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,18 to 35,71,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
7012,7012,34,13,2,1,3,Indonesia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,18 to 35,6,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
7013,7013,34,13,3,1,3,Indonesia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,18 to 35,16,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
7014,7014,34,13,1000,1,3,Indonesia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,18 to 35,7,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
7082,7082,34,13,1,1,4,Indonesia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,36 to 59,78,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
